"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Grand Forks","18","17","02","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","02","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","02","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","03","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","03","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","03","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","03","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","04","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","04","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","04","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","17","04","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","05","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","05","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","05","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","05","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","05","Manvel Public School","801 Oldham Ave","Manvel","ND","58256"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","07","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","07","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","07","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","07","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","08","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","08","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","08","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","08","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","09","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","09","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","09","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","18","09","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","10","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","10","Gilby Presbyterian Church","125 3rd St","Gilby","ND","58235"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","10","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","10","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","10","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","11","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","11","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","11","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","11","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","11","Larimore Senior Citizens Center","116 Towner Ave","Larimore","ND","58251"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","12","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","12","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","12","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","12","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","12","Manvel Public School","801 Oldham Ave","Manvel","ND","58256"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","13","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","13","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","13","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","13","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","13","Northwood Community Center","12 N Raymond St","Northwood","ND","58267"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","14","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","14","Emerado Community Center","300 Main Street","Emerado","ND","58228"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","14","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","14","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","14","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","15","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","15","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","15","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","15","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","20","15","Thompson Community Center","306 Pacific Ave","Thompson","ND","58278"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","06","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","06","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","06","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","06","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","16","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","16","Emerado Community Center","300 Main Street","Emerado","ND","58228"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","16","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","16","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","16","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","17","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","17","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","17","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","42","17","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","18","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","18","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","18","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","18","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","19","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","19","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","19","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","19","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","20","Alerus Center Voting Center","1200 42nd Street South","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","20","Home of Economy Voting Center","1508 N Washington St","Grand Forks","ND","58203"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","20","Hope Church Voting Center","1601 17th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grand Forks","18","43","20","ICON Arena/Park Dist Offices Voting Center","1060 47th Ave S","Grand Forks","ND","58201"," 7:00AM-7:00PM","(701) 780-8200 Ext. "
"Grant","19","31","01","Elgin Community Center","305 Main Street North","Elgin","ND","58533"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","01","Grant County Courthouse","106 2nd AVE NE","Carson","ND","58529"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","02","Elgin Community Center","305 Main Street North","Elgin","ND","58533"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","02","Grant County Courthouse","106 2nd AVE NE","Carson","ND","58529"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","03","Elgin Community Center","305 Main Street North","Elgin","ND","58533"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","03","Grant County Courthouse","106 2nd AVE NE","Carson","ND","58529"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","04","Elgin Community Center","305 Main Street North","Elgin","ND","58533"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","04","Grant County Courthouse","106 2nd AVE NE","Carson","ND","58529"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","05","Elgin Community Center","305 Main Street North","Elgin","ND","58533"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Grant","19","31","05","Grant County Courthouse","106 2nd AVE NE","Carson","ND","58529"," 7:00AM-7:00PM","(701) 622-3275 Ext. "
"Griggs","20","29","01","Griggs County Courthouse","805 Odegard Ave SW","Cooperstown","ND","58425"," 9:00AM-7:00PM","(701) 797-3117 Ext. "
"Griggs","20","29","02","Griggs County Courthouse","805 Odegard Ave SW","Cooperstown","ND","58425"," 9:00AM-7:00PM","(701) 797-3117 Ext. "
"Griggs","20","29","03","Griggs County Courthouse","805 Odegard Ave SW","Cooperstown","ND","58425"," 9:00AM-7:00PM","(701) 797-3117 Ext. "
"Griggs","20","29","04","Griggs County Courthouse","805 Odegard Ave SW","Cooperstown","ND","58425"," 9:00AM-7:00PM","(701) 797-3117 Ext. "
"Griggs","20","29","05","Griggs County Courthouse","805 Odegard Ave SW","Cooperstown","ND","58425"," 9:00AM-7:00PM","(701) 797-3117 Ext. "
"Hettinger","21","31","01","Enchanted Castle","607 Main Ave S","Regent","ND","58650"," 9:00AM-7:00PM","(701) 824-2515 Ext. "
"Hettinger","21","31","01","Mott Armory","507 Brown Ave","Mott","ND","58646"," 9:00AM-7:00PM MT","(701) 824-2515 Ext. "
"Hettinger","21","31","01","New England Memorial Hall","925 Main Street","New England","ND","58646"," 9:00AM-7:00PM","(701) 824-2515 Ext. "
"Hettinger","21","39","01","Enchanted Castle","607 Main Ave S","Regent","ND","58650"," 9:00AM-7:00PM","(701) 824-2515 Ext. "
"Hettinger","21","39","01","Mott Armory","507 Brown Ave","Mott","ND","58646"," 9:00AM-7:00PM MT","(701) 824-2515 Ext. "
"Hettinger","21","39","01","New England Memorial Hall","925 Main Street","New England","ND","58646"," 9:00AM-7:00PM","(701) 824-2515 Ext. "
"Kidder","22","14","01","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"Kidder","22","14","02","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"Kidder","22","14","03","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"Kidder","22","14","04","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"Kidder","22","14","05","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"Kidder","22","14","06","Pifer's Auction & Realty Building","510 7th St NW","Steele","ND","58482"," 7:00AM-7:00PM","(701) 475-4547 Ext. "
"LaMoure","23","28","01","BankNorth Mall Community Room","100 1st Ave SW","LaMoure","ND","58458"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","01","Edgeley National Guard Armory","508 1st Ave W","Edgeley ","ND","58433"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","02","BankNorth Mall Community Room","100 1st Ave SW","LaMoure","ND","58458"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","02","Edgeley National Guard Armory","508 1st Ave W","Edgeley ","ND","58433"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","03","BankNorth Mall Community Room","100 1st Ave SW","LaMoure","ND","58458"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","03","Edgeley National Guard Armory","508 1st Ave W","Edgeley ","ND","58433"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","04","BankNorth Mall Community Room","100 1st Ave SW","LaMoure","ND","58458"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"LaMoure","23","28","04","Edgeley National Guard Armory","508 1st Ave W","Edgeley ","ND","58433"," 9:00AM-7:00PM","(701) 883-6040 Ext. "
"Logan","24","28","01","Logan County Courthouse","301 Broadway","Napoleon","ND","58561"," 9:00AM-7:00PM","(701) 754-2425 Ext. "
"Logan","24","28","02","Logan County Courthouse","301 Broadway","Napoleon","ND","58561"," 9:00AM-7:00PM","(701) 754-2425 Ext. "
"Logan","24","28","03","Logan County Courthouse","301 Broadway","Napoleon","ND","58561"," 9:00AM-7:00PM","(701) 754-2425 Ext. "
"Logan","24","28","04","Logan County Courthouse","301 Broadway","Napoleon","ND","58561"," 9:00AM-7:00PM","(701) 754-2425 Ext. "
"Logan","24","28","05","Logan County Courthouse","301 Broadway","Napoleon","ND","58561"," 9:00AM-7:00PM","(701) 754-2425 Ext. "
"McHenry","25","06","16","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","18","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","27","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","41","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","47","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","55","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","58","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McHenry","25","06","62","McHenry County Courthouse","407 Main St S","Towner","ND","58788"," 9:00AM-7:00PM","(701) 537-5724 Ext. "
"McIntosh","26","28","01","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","01","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","02","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","02","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","03","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","03","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","04","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","04","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","05","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","05","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","06","McIntosh County Courthouse","112 1st St NE","Ashley","ND","58413"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McIntosh","26","28","06","National Guard Armory","1210 1st Ave S","Wishek","ND","58495"," 9:00AM-7:00PM","(701) 288-5141 Ext. "
"McKenzie","27","04","01","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","04","01","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","04","01","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","04","02","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","04","02","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","04","02","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","03","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","03","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","03","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","04","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","04","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","04","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","05","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","05","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","05","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","06","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","06","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","06","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","07","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","07","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","07","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","08","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","08","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","08","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","09","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","09","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","09","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","11","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","11","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","11","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","12","Cartwright Hall","213 Main St","Cartwright","ND","58838"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","12","Mandaree Community Center","212 Ridge Road","Mandaree","ND","58757"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McKenzie","27","26","12","Watford City City Hall","213 2nd ST NE","Watford City","ND","58854"," 9:00AM-7:00PM","(701) 444-3616 Ext. 3"
"McLean","28","04","01","Garrison City Auditorium (Vote Center)","15 Main St South","Garrison","ND","58540"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","01","Turtle Lake Legion (Vote Center)","23 2nd Ave East","Turtle Lake","ND","58575"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","01","Washburn Memorial Building (Vote Center)","805 Main Avenue","Washburn","ND","58577"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","02","Garrison City Auditorium (Vote Center)","15 Main St South","Garrison","ND","58540"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","02","Ralph Wells Community Center","1104 Warrior St","White Shield","ND","58540"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","02","Turtle Lake Legion (Vote Center)","23 2nd Ave East","Turtle Lake","ND","58575"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","04","02","Washburn Memorial Building (Vote Center)","805 Main Avenue","Washburn","ND","58577"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
"McLean","28","06","01","Garrison City Auditorium (Vote Center)","15 Main St South","Garrison","ND","58540"," 7:00AM-7:00PM","(701) 462-8541 Ext. 825"
